Código CCN,Código CNH,Nombre,Comunidad Autónoma,Provincia,Municipio,Dirección,Código Postal,Teléfono,Número de camas instaladas,Tipo de Centro,Dependencia Funcional,Observaciones,Concierto,Acreditación Docente
0908005184,080879,Hospital de Sant Andreu,Cataluña,Barcelona,Manresa,Calle Remei de Dalt 3,08240,938743312,191,Hospitales de media y larga estancia,Privados,,Red de utilización pública (RUP),NO
0908005186,080832,Clínica Sant Josep,Cataluña,Barcelona,Manresa,Calle Caputxins 16,08241,938744050,95,Hospitales Generales,Privados,,Sin concierto,SI
0908005187,080885,Germanes Hospitalaries. Hospital Sagrat Cor,Cataluña,Barcelona,Martorell,Avenida Comte de Llobregat 117,08760,937752200,428,Hospitales de salud mental y tratamiento de toxicomanías,Privados,,Red de utilización pública (RUP),SI
0908005188,080898,Fundacio Hospital Sant Joan de Deu (Martorell),Cataluña,Barcelona,Martorell,Avenida Mancomunitats Comarcals 1,08760,937742020,112,Hospitales Generales,Privados,,Red de utilización pública (RUP),SI
0908005189,080930,"Centre Medic Molins, S.L.",Cataluña,Barcelona,Molins de Rei,Paseo Del Terraple 97,08750,936680004,177,Hospitales de media y larga estancia,Privados,,Red de utilización pública (RUP),NO
0908005190,080945,Hospital de Mollet,Cataluña,Barcelona,Mollet del Vallès,Ronda Pinetons 6-8,08100,935760300,174,Hospitales Generales,Privados,,Red de utilización pública (RUP),SI
0908005192,080977,"Benito Menni, Complex Assistencial En Salut Mental",Cataluña,Barcelona,Sant Boi de Llobregat,Calle Doctor Antoni Pujadas 38,08830,936402400,774,Hospitales de salud mental y tratamiento de toxicomanías,Otras Entidades u o rganismos Públicos,,Red de utilización pública (RUP),SI
0908005193,080983,Parc Sanitari Sant Joan de Deu - Recinte Sant Boi.,Cataluña,Barcelona,Sant Boi de Llobregat,Calle Dr. Antoni Pujadas 42,08830,936406350,1065,Hospitales Generales,Privados,,Red de utilización pública (RUP),SI
0908005194,081000,Hospital de Sant Celoni.,Cataluña,Barcelona,Sant Celoni,Avenida De L'Hospital 19,08470,938670617,100,Hospitales Generales,Privados,,Red de utilización pública (RUP),NO
0908005195,081022,Casal de Curacio,Cataluña,Barcelona,Vilassar de Mar,Calle Maria Vidal 19,08340,937590241,81,Hospitales de media y larga estancia,Privados,,Red de utilización pública (RUP),SI
0908005196,081038,Hospital Residencia Sant Camil - Consorci Sanitari de L'Alt Penedés I Garraf,Cataluña,Barcelona,Sant Pere de Ribes,Ronda Sant Camil S/N,08810,938960025,295,Hospitales Generales,Otras Entidades u o rganismos Públicos,,Red de utilización pública (RUP),SI
0908005197,081069,Fundacio Hospital de L'Esperit Sant,Cataluña,Barcelona,Santa Coloma de Gramenet,Avenida Mossen Josep Pons I Robada  S/N,08923,933869648,177,Hospitales Generales,Privados,,Red de utilización pública (RUP),SI
0908005198,081056,Centres Assistencials Dr. Emili Mira I López (Recinte Torribera).,Cataluña,Barcelona,Santa Coloma de Gramenet,Calle Prat de La Riba 171,08921,934628926,454,Hospitales de salud mental y tratamiento de toxicomanías,Otras Entidades u o rganismos Públicos,,Red de utilización pública (RUP),SI
0908005199,081081,Hospital de Sant Llatzer,Cataluña,Barcelona,Terrassa,Plaza Doctor Robert 1,08221,937837111,77,Hospitales de media y larga estancia,Otras Entidades u o rganismos Públicos,,Red de utilización pública (RUP),SI
0908005200,081094,Hospital Universitari Mutua de Terrassa,Cataluña,Barcelona,Terrassa,Plaza Doctor Robert 5,08221,937365050,534,Hospitales Generales,Privados,,Red de utilización pública (RUP),SI
0908005202,081115,Clínica Sant Josep,Cataluña,Barcelona,Vic,Calle Sant Segimon 3,08500,938861700,21,Hospitales Generales,Privados,,Sin concierto,SI
0908005203,081120,Hospital de La Santa Creu,Cataluña,Barcelona,Vic,Rambla Hospital 52,08500,938833300,127,Hospitales de media y larga estancia,Privados,,Red de utilización pública (RUP),NO
0908005204,081189,Hospital Sant Antoni Abat - Consorci Sanitari del Garraf.,Cataluña,Barcelona,Vilanova i la Geltrú,Calle Sant Josep 21,08800,938931616,111,Hospitales de media y larga estancia,Otras Entidades u o rganismos Públicos,,Red de utilización pública (RUP),SI
0908005205,080667,Hospital Universitari Germans Trías I Pujol de Badalona,Cataluña,Barcelona,Badalona,Carretera Canyet S/N,08916,934651200,616,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Red de utilización pública (RUP),SI
0908005206,081017,Hospital Universitari General de Catalunya,Cataluña,Barcelona,Sant Cugat del Vallès,Calle Pedro I Pons 1,08195,935656000,304,Hospitales Generales,Privados,,Red de utilización pública (RUP),SI
0908005207,081075,Hospital de Terrassa.,Cataluña,Barcelona,Terrassa,Carretera Torrebonica S/N,08227,937310007,460,Hospitales Generales,Otras Entidades u o rganismos Públicos,,Red de utilización pública (RUP),SI
0908005208,080958,Hospital de Sabadell,Cataluña,Barcelona,Sabadell,Calle Parc Taulí­ 1,08208,937231010,861,Hospitales Generales,Otras Entidades u o rganismos Públicos,,Red de utilización pública (RUP),SI
0908005209,081108,Hospital General de Vic,Cataluña,Barcelona,Vic,Calle Francesc Pla El Vigata 1,08500,938891111,292,Hospitales Generales,Otras Entidades u o rganismos Públicos,,Red de utilización pública (RUP),SI
0908005210,081141,Hospital de Viladecans,Cataluña,Barcelona,Viladecans,Avenida Gava 38,08840,936590111,110,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Red de utilización pública (RUP),SI
0908005211,080484,Hospital de Barcelona,Cataluña,Barcelona,Barcelona,Avenida Diagonal 660,08034,932542400,350,Hospitales Generales,Privados,,Sin concierto,SI
0908005212,081234,Centre Sociosanitari Verge del Puig,Cataluña,Barcelona,Sant Celoni,Calle Campins 37,08470,938673995,40,Hospitales de media y larga estancia,Privados,,Red de utilización pública (RUP),NO
0908005213,081228,Prytanis Sant Boi Centre Sociosanitari,Cataluña,Barcelona,Sant Boi de Llobregat,Calle Josep Torras I Bages 55,08830,936300931,122,Hospitales de media y larga estancia,Privados,,Red de utilización pública (RUP),NO
0908005214,080689,Centre Sociosanitari El Carme,Cataluña,Barcelona,Badalona,"Camino Sant Jeroni de La Murtra, 60",08917,935074710,210,Hospitales de media y larga estancia,Municipio,,Red de utilización pública (RUP),NO
0908005215,081192,Centre Sociosanitari Can Torras,Cataluña,Barcelona,Alella,Calle Ferrer I Guardia 9,08328,935551994,119,Hospitales de media y larga estancia,Privados,,Red de utilización pública (RUP),SI
0908005216,081213,Centre Geriatric del Maresme,Cataluña,Barcelona,Mataró,Calle Lepant 13-21,08301,937965003,125,Hospitales de media y larga estancia,Privados,,Red de utilización pública (RUP),NO
0908005217,080863,Hospital de Sant Joan de Deu (Manresa),Cataluña,Barcelona,Manresa,Calle Joan Soler 1-3,08243,939744050,288,Hospitales Generales,Privados,,Red de utilización pública (RUP),SI
0908005218,081304,Residencia Puig-Reig,Cataluña,Barcelona,Puig-reig,Calle Llobregat 75,08692,938380045,30,Hospitales de media y larga estancia,Privados,,Red de utilización pública (RUP),NO
0908005219,081287,Residencia L'Estada,Cataluña,Barcelona,Sant Andreu de Llavaneres,Camino De La Masía S/N,08392,937926612,60,Hospitales de media y larga estancia,Privados,,Red de utilización pública (RUP),NO
0908005220,081311,Residencia Santa Susanna,Cataluña,Barcelona,Caldes de Montbui,Calle Font I Boet 16,08140,938654994,99,Hospitales de media y larga estancia,Privados,,Red de utilización pública (RUP),NO
0908005221,081350,Centre Polivalent Can Fosc,Cataluña,Barcelona,"Ametlla del Vallès, L'",Carretera De Llerona S/N,08480,938432786,56,Hospitales de media y larga estancia,Privados,,Red de utilización pública (RUP),NO
